RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a9755405,De novo design and bioactivity prediction of SARS-CoV-2 main protease inhibitors using recurrent neural network-based transfer learning,The molecules predicted as active were further analysed using molecular docking to investigate possible interactions with M pro .,a9755405,"Santana, Marcos V. S.; Si....(BMC Chem)",2021.02.02
a5623197,Insights into Forsythia Honeysuckle (Lianhuaqingwen) Capsules: A Chinese Herbal Medicine Repurposed for COVID-19 Pandemic,"As demonstrated by molecular docking, forsythoside E, rutin and six other active substances can be well docked with SARS-COV-2 3CL pro to inhibit virus replication .",a5623197,,2021.01.16
a9117265,In silico exploration of novel protease inhibitors against coronavirus 2019 (COVID-19),The structure of the M pro -drug complex was obtained from molecular docking and was simulated for 100 ns using the Fig.,a9117265,"Aghaee, Elham; Ghodrati, ....(Inform Med Unlocked)",2021.01.12
a13881345,Predictive medicinal metabolites from Momordica dioica against comorbidity related proteins of SARS-CoV-2 infections,"The methodology for identification of active compounds with the proteins were followed by the protein selection, ligands and proteins, binding site prediction, molecular docking and prediction of drug",a13881345,"Sakshi, Chavan; Harikrish....(Journal of biomolecular structure & dynamics)",2021.01.11
a9784278,ABBV-744 as a potential inhibitor of SARS-CoV-2 main protease enzyme against COVID-19,The Î±k-13b inhibitor as well as the best optimized lead generated from XP docking were selected to map their potential interactions within the active pocket of SARS-CoV-2 M pro enzyme using molecular,a9784278,"Fakhar, Zeynab; Khan, Sha....(Sci Rep)",2021.01.08
a9800827,Molecular Docking and Molecular Dynamics Aided Virtual Search of OliveNetâ„¢ Directory for Secoiridoids to Combat SARS-CoV-2 Infection and Associated Hyperinflammatory Responses,The interactions revealed by MD were in correlation with intermolecular interactions predicted by molecular docking of DMO to M pro .,a9800827,"Thangavel, Neelaveni; Al ....(Front Mol Biosci)",2021.01.07
a13894226,"Molecular docking, dft studies and admet simulations for evaluating already approved fda drugs as inhibitors for sars-cov-2 rna-dependent polymerase","Methods: Molecular docking studies, DFT studies, ADMET studies.",a13894226,"Vlasiou, M. C.; Ioannou, ....(Letters in Drug Design and Discovery)",2021.01.01
a12622802,Alkaloids and flavonoids from African phytochemicals as potential inhibitors of SARS-Cov-2 RNA-dependent RNA polymerase: an in silico perspective,Active site targeted molecular docking.,a12622802,"Ogunyemi, Oludare M; Gyeb....(Antivir Chem Chemother)",2020.12.29
a12565264,Expanding the Structural Diversity of DNA Methyltransferase Inhibitors,Molecular docking of the most active compounds helped propose binding modes with the catalytic binding site of DNM1.,a12565264,"JuÃ¡rez-Mercado, K. EurÃ­....(Pharmaceuticals (Basel))",2020.12.27
a11838049,In silico study of the potential interactions of 4â€²-acetamidechalcones with protein targets in SARS-CoV-2,"Therefore, in this work, for the first time acetamide chalcones will be study theoretically by the Molecular Docking to characterize the inhibition power of the chalcones with the enzyme Mpro, methylt",a11838049,"Almeida-Neto, Francisco W....(Biochem Biophys Res Commun)",2020.12.26
a11661976,Molecular Docking Studies on the Anti-viral Effects of Compounds From Kabasura Kudineer on SARS-CoV-2 3CL(pro),"Based on the highest energy value, best compounds from each plant of Kabasura kudineer complex were exposed to accurate molecular docking.",a11661976,"Vincent, Savariar; Arokiy....(Front Mol Biosci)",2020.12.23
a12616527,Artificial Intelligence-Based Application to Explore Inhibitors of Neurodegenerative Diseases,"Molecular docking method and active ingredient screening techniques are used to screen out drug molecules that have inhibitory effects on the target protein from drug database (Abdolmaleki et al., 201",a12616527,"Deng, Leping; Zhong, Weih....(Front Neurorobot)",2020.12.22
a13556860,(âˆ’)-Kusunokinin as a Potential Aldose Reductase Inhibitor: Equivalency Observed via AKR1B1 Dynamics Simulation,"Herein, we used the molecular docking technique to predict an additional target protein of (âˆ’)-kusunokinin.",a13556860,"Tanawattanasuntorn, Tanot....(ACS Omega)",2020.12.21
a13884107,"Discovery of Novel Coumarin Analogs against the Î±-Glucosidase Protein Target of Diabetes Mellitus: Pharmacophore-Based QSAR, Docking, and Molecular Dynamics Simulation Studies",Molecular Docking and ADME/T. Maestro's glide module was used to perform molecular docking with the lysosomal Î±-glucosidase (PDB ID: 5KZX) enzyme receptor binding site.,a13884107,"Maurya, Akhilesh Kumar; M....(ACS Omega)",2020.12.10
a13891183,"In vitro antimicrobial, physicochemical, pharmacokinetics and molecular docking studies of benzoyl uridine esters against SARS-CoV-2 main protease","The observed activities were then rationalized by calculating their physicochemical (DFT method), cytotoxicity (shrimp), molecular docking and ADMET properties.",a13891183,"Matin, Mohammed Mahbubul;....(Journal of biomolecular structure & dynamics)",2020.12.10
a9760677,A Computer-Aided Drug Design Approach to Predict Marine Drug-Like Leads for SARS-CoV-2 Main Protease Inhibition,"In the CADD structure-based method, the 494 MNPs selected by QSAR classification approach were screened by molecular docking against M pro enzyme.",a9760677,"GaudÃªncio, Susana P.; Pe....(Mar Drugs)",2020.12.10
a9880407,Systems and Clinical Pharmacology of COVID-19 Therapeutic Candidates: A Clinical and Translational Medicine Perspective,"For example, the molecular design of a de novo molecule to potently bind with SARS-CoV-2 protease can be worked out via molecular docking and machine learning 94 .",a9880407,"Perazzolo, Simone; Zhu, L....(J Pharm Sci)",2020.11.26
a7632702,"DPL: a comprehensive database on sequences, structures, sources and functions of peptide ligands",DPL database will build the virtual peptide library through the computer program and set up a molecular docking platform and analyze the differences between global and local molecular docking results,a7632702,"Wang, Fangyu; Li, Ning; W....(Database (Oxford))",2020.11.20
a13879396,"Identification of natural inhibitors against prime targets of SARS-CoV-2 using molecular docking, molecular dynamics simulation and MM-PBSA approaches","The results of molecular docking and ADME analysis, molecular dynamics simulation and binding free energy calculations of the present study have been discussed below:",a13879396,"Sharma, Abhilasha; Vora, ....(Journal of biomolecular structure & dynamics)",2020.11.13
a9775147,In-silico drug repurposing for targeting SARS-CoV-2 main protease (M(pro)),"In-silico screening of antiviral, antimalarial drugs, polyphenols and ayurvedic compounds through molecular docking with M pro",a9775147,"Sharma, Shilpa; Deep, Sha....(Journal of biomolecular structure & dynamics)",2020.11.12
a8449144,Recent Advances in Molecular Docking for the Research and Discovery of Potential Marine Drugs,"The physical basis of this approach is consistent with molecular docking, that is, looking for lower energy states.",a8449144,"Chen, Guilin; Seukep, Arm....(Mar Drugs)",2020.10.30
a13618136,Biophysical analysis of SARSâ€CoVâ€2 transmission and theranostic development via N protein computational characterization,"Additionally, the researchers performed molecular docking studies and showed that CVL218 binds favorably to the N-NTD protein of SARS-CoV-2, thus providing a possible mode of antiviral activity agains",a13618136,"Sabbih, Godfred O.; Korsa....(Biotechnol Prog)",2020.10.29
a6357094,Screening Malaria-box compounds to identify potential inhibitors against SARS-CoV-2 M(pro) using molecular docking and dynamics simulations studies,"The molecular docking experiment of MB_250 towards the M pro active pocket was stabilized with the formation of 3 H-bonds by residues His41, Leu141 and His163, respectively (Fig. 2E) .",a6357094,"Ahamad, Shahzaib; Kanipak....(Eur J Pharmacol)",2020.10.24
a12395621,Xanthene based Hybrid Analogues to inhibit protease of Novel Corona Virus: Molecular docking and ADMET studies,"In this work, authors have used molecular docking and ADMET score to study the binding affinity of xanthene-triazole-chloroquinoline/ xanthenechloroquinoline hybrid analogues against main proteases of",a12395621,"Kumar Vishvakarma, Vijay;....(Comput Toxicol)",2020.10.21
a11816117,Current Prevention of COVID-19: Natural Products and Herbal Medicine,"(2020) have screened a series of alkaloids and terpenoids derived from African plants as potential inhibitors of 3CLpro using molecular docking and absorption, distribution, metabolism, excretion, and",a11816117,"Huang, Junqing; Tao, Gabr....(Front Pharmacol)",2020.10.16
a7350664,Activity of phytochemical constituents of Curcuma longa (turmeric) and Andrographis paniculata against coronavirus (COVID-19): an in silico approach,"Using different modules (Glide, QikProp, and Prime) of SchrÃ¶dinger suite LLC various computational methods like molecular docking, ADMET screening, and bindingfree energy, calculations were performed",a7350664,"Rajagopal, Kalirajan; Var....(Futur J Pharm Sci)",2020.10.16
a11539119,Natural Plant Products: A Less Focused Aspect for the COVID-19 Viral Outbreak,"Three phytocompounds, b-Eudesmol, digitoxigenin, and Ccrocin isolated from Lauris nobilis L, Nerium oleander, and Crocus sativus L, respectively, have been proposed as potential inhibitors of the spik",a11539119,"Pandey, Anamika; Khan, Mo....(Front Plant Sci)",2020.10.15
a11873845,"Evaluation of modes of action of pesticides to Daphnia magna based on QSAR, excess toxicity and critical body residues.",Molecular docking using acetylcholinesterase revealed that fungicides and insecticides bind more easily with the biological macromolecule when compared with inert compounds.,a11873845,"Wang, Jia; Yang, Yi; Huan....(Ecotoxicology and environmental safety)",2020.10.15
a13885421,Identification of potential inhibitors of SARS-CoV-2 papain-like protease from tropane alkaloids from Schizanthus porrigens: A molecular docking study,"Considering the enormous amount of existing phytocomposites, we can refer to computational chemistry to help in the study of different plant activities such as Schizanthus porrigens candidates from th",a13885421,"Alfaro, Marco; Alfaro, Ig....(Chem Phys Lett)",2020.10.07
a9224806,Discovery of Potential Flavonoid Inhibitors Against COVID-19 3CL Proteinase Based on Virtual Screening Strategy,We believe that the combination of molecular docking and machine learning will bring more surprises for the discovery of drugs.,a9224806,"Xu, Zhongren; Yang, Lixia....(Front Mol Biosci)",2020.09.29
a9113223,Potential Anti-SARS-CoV-2 Therapeutics That Target the Post-Entry Stages of the Viral Life Cycle: A Comprehensive Review,"Famotidine has been identified via virtual screening and molecular modeling, docking, and scoring as a potential inhibitor of M pro [169] , yet this potential is to be experimentally confirmed.",a9113223,"Al-Horani, Rami A.; Kar, ....(Viruses)",2020.09.26
a6309513,Identifying Effective Antiviral Drugs Against SARS-CoV-2 by Drug Repositioning Through Virus-Drug Association Prediction,LS conducted molecular docking for the predicted results.,a6309513,"Peng, Lihong; Tian, Xiong....(Front Genet)",2020.09.16
a5414879,"Synthesis of 3,3â€²-methylenebis(4-hydroxyquinolin-2(1H)-ones) of prospective anti-COVID-19 drugs","In addition, we investigate the molecular docking of 3,3â€²-methylenebis(4-hydroxyquinolin-2(1H)-ones) as anti-COVID-19 using Darunavir as a prospective drug reference.",a5414879,"Aly, Ashraf A.; Hassan, A....(Mol Divers)",2020.09.14
a6625720,Inhibition of Severe Acute Respiratory Syndrome Coronavirus 2 main protease by tafenoquine in vitro,"To elucidate the inhibitory mechanism of TFQ against SARS-CoV-2 M pro , molecular docking was performed using SwissDock (29) .",a6625720,"Chen, Yeh; Yang, Wen-Hao;....(bioRxiv)",2020.08.15
a6048560,Investigating the potential antiviral activity drugs against SARS-CoV-2 by molecular docking simulation,Compounds with lower molecular docking scores will have higher binding correspondences with the target 6YB7 protein [1] .,a6048560,"El-hoshoudy, A.N.....(J Mol Liq)",2020.08.04
a11661896,Repurposing approved drugs as potential inhibitors of 3CL-protease of SARS-CoV-2: Virtual screening and structure based drug design,The effect of the modifications was examined directly afterwards by accurate molecular docking and energy minimization.,a11661896,"Meyer-Almes, Franz-Josef....(Comput Biol Chem)",2020.07.31
a9861487,Learning from history: do not flatten the curve of antiviral research!,"Additionally, modern computational techniques, such as quantitative structure-activity relationship (QSAR) modeling, molecular docking, and machine-learning approaches are being used now in COVID-19 d",a9861487,"Bobrowski, Tesia; Melo-Fi....(Drug Discov Today)",2020.07.15
a9089731,Computational discovery of small drug-like compounds as potential inhibitors of SARS-CoV-2 main protease,Molecular docking of these molecules with the active site of M Pro followed by quantum chemical calculations and MD simulations identified 5 top-ranking compounds (Figure 2 ) that showed a high-affini,a9089731,"Andrianov, Alexander M.; ....(Journal of biomolecular structure & dynamics)",2020.07.14
a11541085,Potential of NO donor furoxan as SARS-CoV-2 main protease (M(pro)) inhibitors: in silico analysis,The researchers have also studied the potential application of natural origin phytochemicals and bioactive derivatives with an anti-viral properties as inhibitors of SARS-CoV-2 M pro using molecular d,a11541085,"Al-Sehemi, Abdullah G.; P....(Journal of biomolecular structure & dynamics)",2020.07.08
a9788922,"Possibility of HIV-1 protease inhibitors-clinical trial drugs as repurposed drugs for SARS-CoV-2 main protease: a molecular docking, molecular dynamics and binding free energy simulation study","The glide energy of TMB607-SARS-CoV-2 M pro and TMC310911-SARS-CoV-2 M pro complexes obtained from the molecular docking simulation is Ã€10.3 and Ã€7.1 kcal/mol, respectively.",a9788922,"Ancy, Iruthayaraj; Sivana....(Journal of biomolecular structure & dynamics)",2020.07.06
a5550374,Targeting the ENV spike protein of HIV with naturally occurring compounds: an in-silico study for drug designing,"The ultimate aim of this study will be focused on developing a drug molecule from the naturally occurring bioactive compounds using computational tools, primarily consisting of molecular docking and A",a5550374,"Sreeram, S.; Sathishkumar....(ADV TRADIT MED (ADTM))",2021.10.12
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a13890813,Antiviral fungal metabolites and some insights into their contributionto the current COVID-19 pandemic,In silico molecular docking analysis and ADMET predictions,a13890813,"Aparecida Takahashi, Jacq....(Bioorg Med Chem)",2021.08.13
a13888616,Anti-HIV reverse transcriptase plant polyphenolic natural products with in silico inhibitory properties on seven non-structural proteins vital in SARS-CoV-2 pathogenesis,"Molecular dynamics (MD) simulation was performed on the top-binding ligands, chosen based on molecular docking and ADMET analyses, to assess at an atomic level the binding behavior of the various poly",a13888616,"de Leon, Von Novi O.; Man....(J Genet Eng Biotechnol)",2021.07.16
a12395580,"Design, synthesis, characterization, and antioxidant activity studies of novel thienyl-pyrazoles","Furthermore, an in silico molecular docking and ADMET analysis was carried out to validate the results and their mode of action.",a12395580,"Kumara, Karthik; Prabhude....(Heliyon)",2021.07.15
a12620423,"Synthesis and Characterization of Some New Quinoxalin-2(1H)one and 2-Methyl-3H-quinazolin-4-one Derivatives Targeting the Onset and Progression of CRC with SRA, Molecular Docking, and ADMET Analyses","The bioactive compounds: (6d; anti-COX-2), (4c; anti-B. fragilis) and (6a; anti-E. coli) were subjected to in silico molecular docking analyses in the active sites of COX-2, metallo-Î²-lactamase, and",a12620423,"El-Sayed, Nahed N. E.; Al....(Molecules)",2021.05.23
a13888645,Dieckol and Its Derivatives as Potential Inhibitors of SARS-CoV-2 Spike Protein (UK Strain: VUI 202012/01): A Computational Study,"Further, we utilized the structure of Dieckol as scaffold to generate different derivatives using ChemSketch and subjected them to XP molecular docking and ADMET analysis.",a13888645,"Aatif, Mohammad; Muteeb, ....(Mar Drugs)",2021.04.25
a13885047,Screening of potent phytochemical inhibitors against SARS-CoV-2 protease and its two Asian mutants,"Previously, andrographolide from Andrographis paniculata has been identified in silico as a potential inhibitor of the SARS-COV-2 main protease (M pro ) by molecular docking analysis, toxicity and ADM",a13885047,"Muhammad, Ijaz; Rahman, N....(Comput Biol Med)",2021.04.16
a12395582,In silico approach of secondary metabolites from Brazilian herbal medicines to search for potential drugs against SARSâ€CoVâ€2,"The review was performed by the PubMed database and the selected natural compounds were subjected to in silico analysis such as QSAR, molecular docking and ADMET.",a12395582,"Amparo, Tatiane R.; Seibe....(Phytother Res)",2021.04.01
a13569626,"Mutations in the SARS-CoV-2 spike protein modulate the virus affinity to the human ACE2 receptor, an in silico analysis","To validate the results obtained with the Z-Dock/PRODIGY servers, an additional molecular docking analysis was performed for each spike protein-ACE2 complex using the Haddock server that is broadly us",a13569626,"Ortega, Joseph Thomas; Pu....(EXCLI J)",2021.03.08
a11957753,A proposed insight into the anti-viral potential of metallic nanoparticles against novel coronavirus disease-19 (COVID-19),"HCQ is more efficient than CQ, based on molecular docking analysis (Achutha et al.",a11957753,"Ibrahim Fouad, Ghadha....(Bull Natl Res Cent)",2021.02.05
a9753526,Factual insights of the allosteric inhibition mechanism of SARS-CoV-2 main protease by quercetin: an in silico analysis,"In further molecular docking analysis of substrate peptide with M pro (in both quercetin conjugated and free form) proved a significant reduction in the binding affinity of M pro , when complexed with",a9753526,"Verma, Shalja; Pandey, An....(3 Biotech)",2021.01.12
a13879396,"Identification of natural inhibitors against prime targets of SARS-CoV-2 using molecular docking, molecular dynamics simulation and MM-PBSA approaches","The results of molecular docking and ADME analysis, molecular dynamics simulation and binding free energy calculations of the present study have been discussed below:",a13879396,"Sharma, Abhilasha; Vora, ....(Journal of biomolecular structure & dynamics)",2020.11.13
a12389777,Drug repurposing for coronavirus (COVID-19): in silico screening of known drugs against coronavirus 3CL hydrolase and protease enzymes,"In this study, we have applied virtual screening approach, homology modeling of human TMPRSS2 enzyme, molecular docking study and ADMET profile analysis in order to identify novel and potential inhibi",a12389777,"Elmezayen, Ammar D.; Al-O....(J Biomol Struct Dyn)",2020.04.26
a1800131,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,"By performing comparative structural analyses , molecular docking , and molecular dynamics simulations we identified the key residues that are involved in the binding between the viral S - protein and",a1800131,,2020.04.10
a296918,Scrutinizing the SARS-CoV-2 protein information for the designing an effective vaccine encompassing both the T-cell and B-cell epitopes,ClusPro performs the interaction analysis by first generating billions of conformers eventually leading to rigid target based molecular docking .,a296918,,2020.04.01
a1620759,"Epitope-based chimeric peptide vaccine design against S, M and E proteins of SARS-CoV-2 etiologic agent of global pandemic COVID-19: an in silico approach","From the selected epitopes from the RBD and NTD segments , top five based on IC 50 230 score were used in molecular docking analysis using the GalaxyWeb server with their respective 231 HLA allele bin",a1620759,,2020.03.31
a124398,The potential SARS-CoV-2 entry inhibitor,We used two molecular docking methods for analysis .,a124398,,2020.03.26
a2169528,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,Molecular docking analysis is one of the essential steps in reverse vaccinology to design vaccines .,a2169528,,2020.02.11
a12652516,Inhibition of Porcine Aminopeptidase M (pAMP) by the Pentapeptide Microginins,"Molecular modelling, by the means of docking and molecular dynamics analysis of the active site, suggests a binding mode where the extra methyl group of MG770 improves hydrophobicity near the Zn 2+ in",a12652516,"Ferreira, Glaucio Monteir....(Molecules)",2019.11.29
a2152755,Plant-derived antiviral drugs as novel hepatitis B virus inhibitors: Cell culture and molecular docking study,Molecular docking analysis of HBV Pol,a2152755,"Parvez, Mohammad K.; Tabi....(Saudi Pharm J)",2018.12.26
a1529735,Structural basis of development of multi-epitope vaccine against Middle East respiratory syndrome using in silico approach,These include CTL epitopes : 47 Molecular interaction analysis of the selected epitopes with hla allele Molecular docking and MD simulation study of the selected epitopes with hla alleles Molecular do,a1529735,"Srivastava, Sukrit; Kamth....(Infect Drug Resist)",2018.11.21
a1454079,An In-Silico Investigation of Phytochemicals as Antiviral Agents Against Dengue Fever,A molecular docking analysis of 2194 plant - derived secondary metabolites with dengue virus protein targets has been carried out .,a1454079,"Powers, Chelsea N.; Setze....(Comb Chem High Throughput Screen)",2016.08.23
a5550374,Targeting the ENV spike protein of HIV with naturally occurring compounds: an in-silico study for drug designing,"The ultimate aim of this study will be focused on developing a drug molecule from the naturally occurring bioactive compounds using computational tools, primarily consisting of molecular docking and A",a5550374,"Sreeram, S.; Sathishkumar....(ADV TRADIT MED (ADTM))",2021.10.12
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a13890813,Antiviral fungal metabolites and some insights into their contributionto the current COVID-19 pandemic,In silico molecular docking analysis and ADMET predictions,a13890813,"Aparecida Takahashi, Jacq....(Bioorg Med Chem)",2021.08.13
a13888616,Anti-HIV reverse transcriptase plant polyphenolic natural products with in silico inhibitory properties on seven non-structural proteins vital in SARS-CoV-2 pathogenesis,"Molecular dynamics (MD) simulation was performed on the top-binding ligands, chosen based on molecular docking and ADMET analyses, to assess at an atomic level the binding behavior of the various poly",a13888616,"de Leon, Von Novi O.; Man....(J Genet Eng Biotechnol)",2021.07.16
a12395580,"Design, synthesis, characterization, and antioxidant activity studies of novel thienyl-pyrazoles","Furthermore, an in silico molecular docking and ADMET analysis was carried out to validate the results and their mode of action.",a12395580,"Kumara, Karthik; Prabhude....(Heliyon)",2021.07.15
a12620423,"Synthesis and Characterization of Some New Quinoxalin-2(1H)one and 2-Methyl-3H-quinazolin-4-one Derivatives Targeting the Onset and Progression of CRC with SRA, Molecular Docking, and ADMET Analyses","The bioactive compounds: (6d; anti-COX-2), (4c; anti-B. fragilis) and (6a; anti-E. coli) were subjected to in silico molecular docking analyses in the active sites of COX-2, metallo-Î²-lactamase, and",a12620423,"El-Sayed, Nahed N. E.; Al....(Molecules)",2021.05.23
a13888645,Dieckol and Its Derivatives as Potential Inhibitors of SARS-CoV-2 Spike Protein (UK Strain: VUI 202012/01): A Computational Study,"Further, we utilized the structure of Dieckol as scaffold to generate different derivatives using ChemSketch and subjected them to XP molecular docking and ADMET analysis.",a13888645,"Aatif, Mohammad; Muteeb, ....(Mar Drugs)",2021.04.25
a13885047,Screening of potent phytochemical inhibitors against SARS-CoV-2 protease and its two Asian mutants,"Previously, andrographolide from Andrographis paniculata has been identified in silico as a potential inhibitor of the SARS-COV-2 main protease (M pro ) by molecular docking analysis, toxicity and ADM",a13885047,"Muhammad, Ijaz; Rahman, N....(Comput Biol Med)",2021.04.16
a12395582,In silico approach of secondary metabolites from Brazilian herbal medicines to search for potential drugs against SARSâ€CoVâ€2,"The review was performed by the PubMed database and the selected natural compounds were subjected to in silico analysis such as QSAR, molecular docking and ADMET.",a12395582,"Amparo, Tatiane R.; Seibe....(Phytother Res)",2021.04.01
a13569626,"Mutations in the SARS-CoV-2 spike protein modulate the virus affinity to the human ACE2 receptor, an in silico analysis","To validate the results obtained with the Z-Dock/PRODIGY servers, an additional molecular docking analysis was performed for each spike protein-ACE2 complex using the Haddock server that is broadly us",a13569626,"Ortega, Joseph Thomas; Pu....(EXCLI J)",2021.03.08
a11957753,A proposed insight into the anti-viral potential of metallic nanoparticles against novel coronavirus disease-19 (COVID-19),"HCQ is more efficient than CQ, based on molecular docking analysis (Achutha et al.",a11957753,"Ibrahim Fouad, Ghadha....(Bull Natl Res Cent)",2021.02.05
a9753526,Factual insights of the allosteric inhibition mechanism of SARS-CoV-2 main protease by quercetin: an in silico analysis,"In further molecular docking analysis of substrate peptide with M pro (in both quercetin conjugated and free form) proved a significant reduction in the binding affinity of M pro , when complexed with",a9753526,"Verma, Shalja; Pandey, An....(3 Biotech)",2021.01.12
a13879396,"Identification of natural inhibitors against prime targets of SARS-CoV-2 using molecular docking, molecular dynamics simulation and MM-PBSA approaches","The results of molecular docking and ADME analysis, molecular dynamics simulation and binding free energy calculations of the present study have been discussed below:",a13879396,"Sharma, Abhilasha; Vora, ....(Journal of biomolecular structure & dynamics)",2020.11.13
a12389777,Drug repurposing for coronavirus (COVID-19): in silico screening of known drugs against coronavirus 3CL hydrolase and protease enzymes,"In this study, we have applied virtual screening approach, homology modeling of human TMPRSS2 enzyme, molecular docking study and ADMET profile analysis in order to identify novel and potential inhibi",a12389777,"Elmezayen, Ammar D.; Al-O....(J Biomol Struct Dyn)",2020.04.26
a1800131,ACE2 fragment as a decoy for novel SARS-Cov-2 virus,"By performing comparative structural analyses , molecular docking , and molecular dynamics simulations we identified the key residues that are involved in the binding between the viral S - protein and",a1800131,,2020.04.10
a296918,Scrutinizing the SARS-CoV-2 protein information for the designing an effective vaccine encompassing both the T-cell and B-cell epitopes,ClusPro performs the interaction analysis by first generating billions of conformers eventually leading to rigid target based molecular docking .,a296918,,2020.04.01
a1620759,"Epitope-based chimeric peptide vaccine design against S, M and E proteins of SARS-CoV-2 etiologic agent of global pandemic COVID-19: an in silico approach","From the selected epitopes from the RBD and NTD segments , top five based on IC 50 230 score were used in molecular docking analysis using the GalaxyWeb server with their respective 231 HLA allele bin",a1620759,,2020.03.31
a124398,The potential SARS-CoV-2 entry inhibitor,We used two molecular docking methods for analysis .,a124398,,2020.03.26
a2169528,The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19,Molecular docking analysis is one of the essential steps in reverse vaccinology to design vaccines .,a2169528,,2020.02.11
a12652516,Inhibition of Porcine Aminopeptidase M (pAMP) by the Pentapeptide Microginins,"Molecular modelling, by the means of docking and molecular dynamics analysis of the active site, suggests a binding mode where the extra methyl group of MG770 improves hydrophobicity near the Zn 2+ in",a12652516,"Ferreira, Glaucio Monteir....(Molecules)",2019.11.29
a2152755,Plant-derived antiviral drugs as novel hepatitis B virus inhibitors: Cell culture and molecular docking study,Molecular docking analysis of HBV Pol,a2152755,"Parvez, Mohammad K.; Tabi....(Saudi Pharm J)",2018.12.26
a1529735,Structural basis of development of multi-epitope vaccine against Middle East respiratory syndrome using in silico approach,These include CTL epitopes : 47 Molecular interaction analysis of the selected epitopes with hla allele Molecular docking and MD simulation study of the selected epitopes with hla alleles Molecular do,a1529735,"Srivastava, Sukrit; Kamth....(Infect Drug Resist)",2018.11.21
a1454079,An In-Silico Investigation of Phytochemicals as Antiviral Agents Against Dengue Fever,A molecular docking analysis of 2194 plant - derived secondary metabolites with dengue virus protein targets has been carried out .,a1454079,"Powers, Chelsea N.; Setze....(Comb Chem High Throughput Screen)",2016.08.23
